id	identifier	symbol	other_identifiers	description	synonyms
1032	MESH:D065310	Squamous Intraepithelial Lesions of the Cervix		A cytological test finding often from PAP SMEARS that shows abnormal lesions of SQUAMOUS EPITHELIAL CELLS of the CERVIX. It is a diagnostic criterion used in the Bethesda System for UTERINE CERVICAL NEOPLASMS and represents the PAP TEST result that is abnormal. Although squamous intraepithelial lesions test result does not mean UTERINE CERVICAL NEOPLASMS it requires follow-ups (e.g., HPV DNA TESTS; and COLPOSCOPY).	
1033	MESH:C537491	Stewart Treves syndrome	DO:DOID:2689		|Postmastectomy extremity angiosarcoma|Postmastectomy-extremity-angiosarcoma|Lymphangiosarcoma-following-mastectomy|Angiosarcoma associated with chronic lymphedema|Lymphangiosarcoma following mastectomy|Angiosarcoma-associated-with-chronic-lymphedema|
1034	MESH:D013274	Stomach Neoplasms	DO:DOID:10534|OMIM:137215|OMIM:613659	Tumors or cancer of the STOMACH.	|Cancer, Gastric|GASTRIC Neoplasms, HEREDITARY DIFFUSE|Neoplasms of the Stomach|Tumors, Stomach|Neoplasm-of-the-Stomach|Gastric-Tumor|INCLUDED INTESTINAL GASTRIC CANCER|Gastric Cancer, Familial Diffuse|Gastric-Carcinoma, Familial-Diffuse|Carcinomas-of-Stomach|Tumour-of-Stomach|Gastric-Neoplasms|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Tumors GASTRIC Tumors|GASTRIC Tumour, FAMILIAL DIFFUSE BREAST Tumour, LOBULAR, INCLUDED|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Neoplasm GASTRIC Neoplasm|Tumors, Gastric|Neoplasm of the Stomach|Tumors-of-Stomach|Tumor-of-the-Stomach|GASTRIC Neoplasms, INTESTINAL, INCLUDED|Gastric-Carcinomas|GASTRIC-Neoplasm, HEREDITARY-DIFFUSE|GASTRIC-Tumour, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|GASTRIC Tumour, INTESTINAL, INCLUDED|GASTRIC-Tumor, INTESTINAL, INCLUDED|Gastric-Cancers|GASTRIC Neoplasm, FAMILIAL DIFFUSE BREAST Neoplasm, LOBULAR, INCLUDED|Cancer-of-Stomach|GASTRIC Tumour, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|INCLUDED INTESTINAL GASTRIC Tumor|Carcinoma of the Stomach|Familial Diffuse Gastric Carcinomas|GASTRIC Carcinoma, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Carcinomas|Gastric-Neoplasm|GASTRIC-Carcinoma, INTESTINAL, INCLUDED|GASTRIC-Carcinomas, INTESTINAL, INCLUDED|Tumor-of-Stomach|GASTRIC-Carcinoma, FAMILIAL-DIFFUSE-BREAST-Carcinoma, LOBULAR, INCLUDED|Neoplasms-of-Stomach|Neoplasms, Stomach|Gastric Tumours|Gastric-Tumors|GASTRIC Neoplasm, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|Gastric-Cancer|Gastric Tumour, Familial Diffuse|Carcinomas of the Stomach|INCLUDED INTESTINAL GASTRIC Tumors|Gastric Neoplasm, Familial Diffuse|Cancer-of-the-Stomach|Familial Diffuse Gastric Tumors|Gastric Tumor, Familial Diffuse|Stomach-Cancers|GASTRIC Tumor, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|Stomach Carcinoma|HEREDITARY DIFFUSE GASTRIC Neoplasm|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Tumor GASTRIC Tumor|INCLUDED INTESTINAL GASTRIC Neoplasm|GASTRIC Neoplasm, INTESTINAL, INCLUDED|Neoplasms, Gastric|GASTRIC-Neoplasm, FAMILIAL-DIFFUSE-BREAST-Neoplasm, LOBULAR, INCLUDED|GASTRIC Carcinoma, HEREDITARY DIFFUSE|Stomach-Tumors|Gastric-Carcinomas, Familial-Diffuse|Familial Diffuse Gastric Tumours|Tumour-of-the-Stomach|Familial Diffuse Gastric Carcinoma|Neoplasm, Stomach|GASTRIC Carcinomas, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|GASTRIC-Tumour, HEREDITARY-DIFFUSE|GASTRIC CANCER, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Carcinoma GASTRIC Carcinoma|INCLUDED INTESTINAL GASTRIC Carcinomas|LBC, INCLUDED|Gastric-Neoplasms, Familial-Diffuse|Neoplasm, Gastric|GASTRIC-Tumour, INTESTINAL, INCLUDED|Carcinomas, Gastric|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST CANCER GASTRIC CANCER|Tumour of Stomach|Gastric Cancer|GASTRIC-Neoplasm, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|GASTRIC Tumours, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|GASTRIC Neoplasms, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|HDGC|Tumours, Stomach|GASTRIC-Neoplasms, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|GASTRIC Tumor, FAMILIAL DIFFUSE BREAST Tumor, LOBULAR, INCLUDED|GASTRIC CANCER, FAMILIAL DIFFUSE BREAST CANCER, LOBULAR, INCLUDED|Stomach-Tumor|GASTRIC Tumors, FAMILIAL DIFFUSE BREAST Tumors, LOBULAR, INCLUDED|Cancer of the Stomach|GASTRIC-Tumors, HEREDITARY-DIFFUSE|Familial Diffuse Gastric Neoplasms|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Neoplasm|Gastric-Tumors, Familial-Diffuse|Gastric Neoplasms|Tumor of Stomach|GASTRIC-CANCER, FAMILIAL-DIFFUSE-BREAST-CANCER, LOBULAR, INCLUDED|Familial Diffuse Gastric Neoplasm|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Tumors|HEREDITARY DIFFUSE GASTRIC Tumors|INCLUDED INTESTINAL GASTRIC Tumour|GASTRIC-Tumors, INTESTINAL, INCLUDED|Stomach Cancer|Gastric Tumor|Carcinoma, Stomach|Cancers, Stomach|Stomach Neoplasms|Stomach-Carcinomas|GASTRIC-Tumor, FAMILIAL-DIFFUSE-BREAST-Tumor, LOBULAR, INCLUDED|GASTRIC-Carcinoma, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Tumour|Familial Diffuse Gastric Tumour|GASTRIC Carcinoma, FAMILIAL DIFFUSE BREAST Carcinoma, LOBULAR, INCLUDED|Gastric Carcinoma|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Neoplasms GASTRIC Neoplasms|Tumours of Stomach|Familial Diffuse Gastric Tumor|Gastric Tumour|Gastric Carcinoma, Familial Diffuse|GASTRIC-CANCER, INTESTINAL, INCLUDED|Carcinomas, Stomach|Stomach-Tumour|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Tumor|GASTRIC CANCER, HEREDITARY DIFFUSE|HEREDITARY DIFFUSE GASTRIC Carcinoma|GASTRIC-CANCER, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|Cancers, Gastric|Gastric Neoplasms, Familial Diffuse|HEREDITARY DIFFUSE GASTRIC Tumours|Stomach Tumor|Familial Diffuse Gastric Cancer|Cancer of Stomach|GASTRIC Tumors, HEREDITARY DIFFUSE|Gastric-Tumours, Familial-Diffuse|Stomach Tumors|GASTRIC Carcinomas, INTESTINAL, INCLUDED|GASTRIC Tumours, FAMILIAL DIFFUSE BREAST Tumours, LOBULAR, INCLUDED|Gastric-Carcinoma|GASTRIC-Carcinoma, HEREDITARY-DIFFUSE|Carcinoma of Stomach|GASTRIC-Tumor, HEREDITARY-DIFFUSE|Carcinoma, Gastric|Neoplasm of Stomach|Tumours, Gastric|Gastric Tumors|Carcinoma-of-the-Stomach|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Carcinomas GASTRIC Carcinomas|GASTRIC-Tumours, HEREDITARY-DIFFUSE|HEREDITARY DIFFUSE GASTRIC Tumour|GASTRIC-Tumour, FAMILIAL-DIFFUSE-BREAST-Tumour, LOBULAR, INCLUDED|Gastric-Tumours|INCLUDED LBC|Gastric Carcinomas, Familial Diffuse|Carcinoma-of-Stomach|Tumors-of-the-Stomach|Gastric Cancers|GASTRIC Neoplasms, FAMILIAL DIFFUSE BREAST Neoplasms, LOBULAR, INCLUDED|GASTRIC-Neoplasms, HEREDITARY-DIFFUSE|GASTRIC Tumours, HEREDITARY DIFFUSE|Stomach Carcinomas|Tumours of the Stomach|Stomach-Tumours|GASTRIC Carcinomas, FAMILIAL DIFFUSE BREAST Carcinomas, LOBULAR, INCLUDED|Gastric Neoplasm|INCLUDED INTESTINAL GASTRIC Carcinoma|Tumours-of-the-Stomach|GASTRIC-Neoplasm, INTESTINAL, INCLUDED|GASTRIC Tumor, INTESTINAL, INCLUDED|GASTRIC-Tumours, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|Stomach Tumours|INCLUDED INTESTINAL GASTRIC Neoplasms|GASTRIC-Tumor, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|Neoplasm-of-Stomach|Carcinomas of Stomach|HEREDITARY DIFFUSE GASTRIC Neoplasms|Gastric-Neoplasm, Familial-Diffuse|INCLUDED INTESTINAL GASTRIC Tumours|Carcinomas-of-the-Stomach|Neoplasms-of-the-Stomach|GASTRIC Carcinoma, INTESTINAL, INCLUDED|Gastric-Tumour|Stomach Cancers|GASTRIC-Tumours, FAMILIAL-DIFFUSE-BREAST-Tumours, LOBULAR, INCLUDED|Gastric-Tumour, Familial-Diffuse|Gastric Carcinomas|GASTRIC-Tumors, FAMILIAL-DIFFUSE-BREAST-Tumors, LOBULAR, INCLUDED|Tumor, Gastric|GASTRIC Carcinomas, HEREDITARY DIFFUSE|GASTRIC Tumor, HEREDITARY DIFFUSE|Gastric-Tumor, Familial-Diffuse|GASTRIC-Tumours, INTESTINAL, INCLUDED|GASTRIC Tumour, HEREDITARY DIFFUSE|GASTRIC-Neoplasms, INTESTINAL, INCLUDED|Tumour of the Stomach|Stomach Tumour|Tumors of Stomach|Tumor of the Stomach|GASTRIC Tumours, INTESTINAL, INCLUDED|GASTRIC-Tumors, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|Tumours-of-Stomach|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Tumours GASTRIC Tumours|HEREDITARY DIFFUSE GASTRIC CANCER|GASTRIC-Neoplasms, FAMILIAL-DIFFUSE-BREAST-Neoplasms, LOBULAR, INCLUDED|GASTRIC Tumors, INTESTINAL, INCLUDED|Tumour, Stomach|Tumour, Gastric|Stomach-Cancer|Cancer, Stomach|Stomach-Neoplasm|GASTRIC-CANCER, HEREDITARY-DIFFUSE|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC CANCER|GASTRIC CANCER, INTESTINAL, INCLUDED|Tumor, Stomach|Gastric Tumors, Familial Diffuse|Gastric Tumours, Familial Diffuse|INCLUDED LOBULAR FAMILIAL DIFFUSE BREAST Tumour GASTRIC Tumour|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Tumours|GASTRIC-Carcinomas, FAMILIAL-DIFFUSE-BREAST-Carcinomas, LOBULAR, INCLUDED|HEREDITARY DIFFUSE GASTRIC Carcinomas|Neoplasms of Stomach|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Neoplasms|GASTRIC-Carcinomas, FAMILIAL-DIFFUSE, AND-CLEFT-LIP-WITH-OR-WITHOUT-CLEFT-PALATE, INCLUDED|Tumors of the Stomach|GASTRIC-Carcinomas, HEREDITARY-DIFFUSE|HEREDITARY DIFFUSE GASTRIC Tumor|Gastric-Cancer, Familial-Diffuse|Stomach-Carcinoma|GASTRIC Neoplasm, HEREDITARY DIFFUSE|GASTRIC Tumors, FAMILIAL DIFFUSE, AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE, INCLUDED|Stomach-Neoplasms|INCLUDED AND CLEFT LIP WITH OR WITHOUT CLEFT PALATE FAMILIAL DIFFUSE GASTRIC Carcinoma|Stomach Neoplasm|
1035	MESH:D013330	Struma Ovarii	DO:DOID:2640	A rare teratoid tumor of the ovary composed almost entirely of thyroid tissue, with large follicles containing abundant colloid. Occasionally there are symptoms of hyperthyroidism. 5-10% of struma ovarii become malignant, the only absolute criterion for which is the presence of metastasis. (Dorland, 27th ed; Segen, Dictionary of Modern Medicine, 1992)	
1036	MESH:D013341	Sturge-Weber Syndrome	DO:DOID:0111563|OMIM:185300	A non-inherited congenital condition with vascular and neurological abnormalities. It is characterized by facial vascular nevi (PORT-WINE STAIN), and capillary angiomatosis of intracranial membranes (MENINGES; CHOROID). Neurological features include EPILEPSY; cognitive deficits; GLAUCOMA; and visual defects.	|Syndrome, Sturge Kalischer Weber|Syndrome, Sturge-Weber-Krabbe|Syndrome, Encephalofacial-Hemangiomatosis|Sturge-Kalischer-Weber-Syndrome|Angiomatosis Oculoorbital Thalamic Syndrome|Syndrome, Sturge-Weber-Dimitri|Meningo Oculo Facial Angiomatosis|Syndrome, Sturge-Weber|Phakomatosis, Sturge Weber|Sturge Kalischer Weber Syndrome|Parkes-Weber Syndrome|Sturge-Weber-Dimitri Syndrome|Syndrome, Sturge Weber|Encephalofacial Hemangiomatosis Syndrome|Sturge-Weber Phakomatosis|Angiomatosis Oculoorbital-Thalamic Syndrome|SWS|Encephalofacial-Hemangiomatosis-Syndrome|Sturge-Weber-Krabbe Syndrome|Sturge Weber Phakomatosis|Sturge's-Syndrome|Sturge Weber Syndrome|Sturge's Syndrome|Sturge-Disease|Sturge Syndrome|Sturge-Kalischer-Weber Syndrome|Sturge-Weber-Dimitri-Syndrome|Meningofacial Angiomatosis Cerebral Calcification Syndrome|Sturge Weber Krabbe Syndrome|Parkes Weber Syndrome|Syndrome, Encephalofacial Hemangiomatosis|Sturge-Weber-Krabbe-Syndrome|Sturge-Syndrome|Syndrome, Parkes-Weber|Syndrome, Sturge's|Angiomatosis, Meningo Oculo Facial|Syndrome, Parkes Weber|Parkes-Weber-Syndrome|Meningofacial Angiomatosis-Cerebral Calcification Syndrome|Phakomatosis, Sturge-Weber|Sturge-Weber-Phakomatosis|Syndrome, Sturge Weber Krabbe|Sturge-Weber Syndrome|Meningo-Oculo-Facial-Angiomatosis|Sturge Weber Dimitri Syndrome|Sturge Disease|Angiomatosis-Oculoorbital-Thalamic-Syndrome|Syndrome, Sturge-Kalischer-Weber|Angiomatosis, Meningo-Oculo-Facial|Hemangiomatosis Syndrome, Encephalofacial|Neuroretinoangiomatosis|Meningo-Oculo-Facial Angiomatosis|Sturge-Weber-Syndrome|Syndrome, Sturge Weber Dimitri|Hemangiomatosis-Syndrome, Encephalofacial|Meningofacial-Angiomatosis-Cerebral-Calcification-Syndrome|Syndrome, Sturge|
1037	MESH:C537502	Stuve-Wiedemann syndrome	OMIM:601559		|Stuve-Wiedemann-Schwartz-Jampel type 2 syndrome|Schwartz Jampel syndrome neonatal|Schwartz-Jampel-type-2-syndrome|SJS2|SWS|Stuve Wiedemann Schwartz Jampel type 2 syndrome|STWS|Schwartz-Jampel-syndrome-neonatal|Schwartz-Jampel-Syndrome, Type-2|Schwartz Jampel type 2 syndrome|Neonatal Schwartz-Jampel Syndrome|Stuve-Wiedemann-Schwartz-Jampel-type-2-syndrome|Schwartz Jampel Syndrome, Type 2|Schwartz-Jampel Syndrome, Type 2|Type 2 Schwartz-Jampel Syndrome|STUVE-WIEDEMANN/SCHWARTZ-JAMPEL TYPE 2 SYNDROME|STUVE-WIEDEMANN/SCHWARTZ-JAMPEL-TYPE-2-SYNDROME|STUVE WIEDEMANN/SCHWARTZ JAMPEL TYPE 2 SYNDROME|Schwartz Jampel Syndrome, Neonatal|Schwartz-Jampel-Syndrome, Neonatal|Schwartz-Jampel Syndrome, Neonatal|
1038	MESH:C537503	Subcutaneous panniculitis-like T-cell lymphoma			
1039	MESH:D013362	Sublingual Gland Neoplasms		Neoplasms of the sublingual glands.	|Gland Carcinomas, Sublingual|Cancers, Sublingual-Gland|Sublingual-Gland-Neoplasm|Carcinoma, Sublingual-Gland|Tumours, Sublingual Gland|Gland-Tumours, Sublingual|Sublingual Gland Tumours|Tumours, Sublingual-Gland|Sublingual Gland Tumour|Gland Cancers, Sublingual|Gland-Tumors, Sublingual|Sublingual-Gland-Carcinoma|Gland Tumors, Sublingual|Gland-Neoplasms, Sublingual|Sublingual Gland Tumor|Sublingual Gland Neoplasms|Tumor, Sublingual Gland|Sublingual-Gland-Carcinomas|Gland-Carcinomas, Sublingual|Gland Neoplasms, Sublingual|Gland Carcinoma, Sublingual|Gland-Carcinoma, Sublingual|Sublingual-Gland-Tumors|Gland Tumor, Sublingual|Gland-Tumor, Sublingual|Gland Cancer, Sublingual|Tumor, Sublingual-Gland|Gland-Tumour, Sublingual|Cancer, Sublingual-Gland|Carcinomas, Sublingual Gland|Gland Neoplasm, Sublingual|Sublingual Gland Cancers|Gland Tumour, Sublingual|Sublingual Gland Tumors|Sublingual-Gland-Cancers|Sublingual-Gland-Tumour|Gland-Cancers, Sublingual|Gland-Cancer, Sublingual|Tumour, Sublingual Gland|Cancers, Sublingual Gland|Gland-Neoplasm, Sublingual|Sublingual-Gland-Tumor|Neoplasms, Sublingual-Gland|Sublingual Gland Neoplasm|Carcinoma, Sublingual Gland|Neoplasm, Sublingual Gland|Neoplasms, Sublingual Gland|Tumors, Sublingual-Gland|Sublingual-Gland-Cancer|Sublingual Gland Carcinoma|Sublingual Gland Carcinomas|Gland Tumours, Sublingual|Sublingual Gland Cancer|Carcinomas, Sublingual-Gland|Neoplasm, Sublingual-Gland|Tumors, Sublingual Gland|Cancer, Sublingual Gland|Sublingual-Gland-Tumours|Tumour, Sublingual-Gland|
1040	MESH:D013365	Submandibular Gland Neoplasms		New abnormal growth of tissue in the SUBMANDIBULAR GLAND.	|Gland-Neoplasm, Submandibular|Gland-Tumours, Submandibular|Submandibular Gland Neoplasm|Submandibular Gland Tumors|Tumours, Submandibular-Gland|Cancer, Submandibular Gland|Submandibular-Gland-Neoplasm|Submandibular Gland Tumours|Cancer, Submandibular-Gland|Neoplasms, Submandibular Gland|Gland Cancer, Submandibular|Gland-Carcinomas, Submandibular|Gland-Cancers, Submandibular|Neoplasm, Submandibular Gland|Gland Tumors, Submandibular|Tumours, Submandibular Gland|Submandibular Gland Tumour|Tumour, Submandibular Gland|Tumors, Submandibular-Gland|Neoplasm, Submandibular-Gland|Submandibular-Gland-Tumor|Gland-Carcinoma, Submandibular|Submandibular Gland Tumor|Gland Tumor, Submandibular|Gland Tumour, Submandibular|Gland-Tumors, Submandibular|Neoplasms, Submandibular-Gland|Submandibular-Gland-Tumours|Cancers, Submandibular Gland|Submandibular-Gland-Tumour|Carcinomas, Submandibular-Gland|Tumour, Submandibular-Gland|Carcinomas, Submandibular Gland|Carcinoma, Submandibular-Gland|Gland Neoplasms, Submandibular|Gland-Neoplasms, Submandibular|Gland Tumours, Submandibular|Tumor, Submandibular Gland|Gland-Tumor, Submandibular|Tumor, Submandibular-Gland|Submandibular Gland Cancer|Gland-Cancer, Submandibular|Tumors, Submandibular Gland|Submandibular-Gland-Cancer|Submandibular Gland Cancers|Submandibular-Gland-Carcinoma|Submandibular-Gland-Carcinomas|Submandibular-Gland-Cancers|Submandibular Gland Carcinomas|Cancers, Submandibular-Gland|Submandibular-Gland-Tumors|Gland-Tumour, Submandibular|Gland Carcinomas, Submandibular|Gland Carcinoma, Submandibular|Gland Neoplasm, Submandibular|Submandibular Gland Neoplasms|Gland Cancers, Submandibular|Submandibular Gland Carcinoma|Carcinoma, Submandibular Gland|
1041	MESH:C535723	Subungual exostoses			|Exostosis, Dupuytren-Subungual|Dupuytren-subungual-exostosis|Exostosis, Dupuytren Subungual|Dupuytren subungual exostosis|Dupuytren Subungual Exostosis|
1042	OMIM:191181	SUPPRESSOR OF TUMORIGENICITY 3			|CERVICAL-CARCINOMA, TUMOR-SUPPRESSOR-GENE-INVOLVED-IN|CERVICAL CARCINOMA, Carcinomas SUPPRESSOR GENE INVOLVED IN|TUMOR-SUPPRESSOR GENE INVOLVED IN CERVICAL Tumors|TUMOR SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL-Neoplasm, Neoplasm-SUPPRESSOR-GENE-INVOLVED-IN|Neoplasm-SUPPRESSOR GENE INVOLVED IN CERVICAL Neoplasm|TSHL|Cancer-SUPPRESSOR GENE INVOLVED IN CERVICAL Cancer|TUMOR-SUPPRESSOR GENE INVOLVED IN CERVICAL Tumor|CERVICAL-CARCINOMA, Carcinomas-SUPPRESSOR-GENE-INVOLVED-IN|HELA CELL TYPE Neoplasm-SUPPRESSOR GENE|CERVICAL-Cancer, Cancer-SUPPRESSOR-GENE-INVOLVED-IN|CERVICAL Tumor, TUMOR-SUPPRESSOR GENE INVOLVED IN|TUMOR-SUPPRESSOR-GENE, HELA-CELL-TYPE|HELA CELL TYPE Cancer-SUPPRESSOR GENE|Cancers-SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL CARCINOMA, Carcinomas-SUPPRESSOR GENE INVOLVED IN|CERVICAL CARCINOMA, TUMOR SUPPRESSOR GENE INVOLVED IN|CERVICAL-Neoplasms, Neoplasms-SUPPRESSOR-GENE-INVOLVED-IN|Tumours-SUPPRESSOR GENE INVOLVED IN CERVICAL Tumours|CERVICAL Tumors, TUMOR-SUPPRESSOR GENE INVOLVED IN|Carcinomas-SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL-Tumors, TUMOR-SUPPRESSOR-GENE-INVOLVED-IN|Tumours-SUPPRESSOR GENE, HELA CELL TYPE|Neoplasms-SUPPRESSOR GENE, HELA CELL TYPE|Tumours-SUPPRESSOR-GENE, HELA-CELL-TYPE|Cancer-SUPPRESSOR GENE, HELA CELL TYPE|Cancer-SUPPRESSOR-GENE, HELA-CELL-TYPE|CERVICAL Tumours, Tumours-SUPPRESSOR GENE INVOLVED IN|Tumour-SUPPRESSOR GENE INVOLVED IN CERVICAL Tumour|Carcinoma-SUPPRESSOR-GENE, HELA-CELL-TYPE|HELA CELL TYPE TUMOR-SUPPRESSOR GENE|CERVICAL Neoplasm, Neoplasm SUPPRESSOR GENE INVOLVED IN|CERVICAL Cancers, Cancers SUPPRESSOR GENE INVOLVED IN|HELA CELL TYPE Carcinoma-SUPPRESSOR GENE|Neoplasm-SUPPRESSOR-GENE, HELA-CELL-TYPE|Carcinomas-SUPPRESSOR GENE INVOLVED IN CERVICAL CARCINOMA|CERVICAL Neoplasms, Neoplasms SUPPRESSOR GENE INVOLVED IN|Tumour SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL Tumours, Tumours SUPPRESSOR GENE INVOLVED IN|Cancers SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL CARCINOMA, TUMOR-SUPPRESSOR GENE INVOLVED IN|CERVICAL Tumour, Tumour-SUPPRESSOR GENE INVOLVED IN|CERVICAL CARCINOMA, Carcinoma-SUPPRESSOR GENE INVOLVED IN|CERVICAL Cancers, Cancers-SUPPRESSOR GENE INVOLVED IN|CERVICAL-Tumor, TUMOR-SUPPRESSOR-GENE-INVOLVED-IN|Carcinomas SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL-Tumour, Tumour-SUPPRESSOR-GENE-INVOLVED-IN|CCTS|ST3|Cancer SUPPRESSOR GENE, HELA CELL TYPE|HELA CELL TYPE Neoplasms-SUPPRESSOR GENE|Cancers-SUPPRESSOR GENE INVOLVED IN CERVICAL Cancers|TUMOR-SUPPRESSOR GENE INVOLVED IN CERVICAL CARCINOMA|Tumour-SUPPRESSOR-GENE, HELA-CELL-TYPE|Carcinoma-SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL Tumor, TUMOR SUPPRESSOR GENE INVOLVED IN|Tumours SUPPRESSOR GENE, HELA CELL TYPE|TUMOR-SUPPRESSOR GENE, HELA CELL TYPE|Carcinoma-SUPPRESSOR GENE INVOLVED IN CERVICAL CARCINOMA|CERVICAL Cancer, Cancer SUPPRESSOR GENE INVOLVED IN|CERVICAL Neoplasms, Neoplasms-SUPPRESSOR GENE INVOLVED IN|HELA CELL TYPE Tumour-SUPPRESSOR GENE|HELA CELL TYPE Cancers-SUPPRESSOR GENE|CERVICAL-Tumours, Tumours-SUPPRESSOR-GENE-INVOLVED-IN|Cancers-SUPPRESSOR-GENE, HELA-CELL-TYPE|Carcinoma SUPPRESSOR GENE, HELA CELL TYPE|Neoplasms-SUPPRESSOR GENE INVOLVED IN CERVICAL Neoplasms|Neoplasms-SUPPRESSOR-GENE, HELA-CELL-TYPE|CERVICAL Neoplasm, Neoplasm-SUPPRESSOR GENE INVOLVED IN|CERVICAL CARCINOMA, Carcinoma SUPPRESSOR GENE INVOLVED IN|CERVICAL-Cancers, Cancers-SUPPRESSOR-GENE-INVOLVED-IN|CERVICAL Tumors, TUMOR SUPPRESSOR GENE INVOLVED IN|Tumour-SUPPRESSOR GENE, HELA CELL TYPE|Carcinomas-SUPPRESSOR-GENE, HELA-CELL-TYPE|CERVICAL-CARCINOMA, Carcinoma-SUPPRESSOR-GENE-INVOLVED-IN|HELA CELL TYPE Carcinomas-SUPPRESSOR GENE|Neoplasm SUPPRESSOR GENE, HELA CELL TYPE|Neoplasms SUPPRESSOR GENE, HELA CELL TYPE|CERVICAL Tumour, Tumour SUPPRESSOR GENE INVOLVED IN|CERVICAL Cancer, Cancer-SUPPRESSOR GENE INVOLVED IN|HELA CELL TYPE Tumours-SUPPRESSOR GENE|Neoplasm-SUPPRESSOR GENE, HELA CELL TYPE|
